x y xEr yEr 
-4.0 -2.82829236091 0.2 -0.643663674461 
-3.5 -2.80257546766 0.2 -0.616509703219 
-3.0 -2.66064647567 0.2 -0.566900461583 
-2.5 -1.09644639881 0.2 -0.372119042728 
-2.0 -0.389895235767 0.2 -0.0828923200108 
-1.5 0.326761314736 0.2 0.0900176376594 
-1.0 0.879042545515 0.2 0.234044177524 
-0.5 1.29495912495 0.2 0.200959468907 
0.0 1.16717060354 0.2 0.229003535288 
0.5 0.875110679725 0.2 0.204277987078 
1.0 0.345901858798 0.2 0.0935969774941 
1.5 0.124510445209 0.2 0.0409993154733 
2.0 -0.100513065234 0.2 -0.0282567046429 
2.5 -0.225174123397 0.2 -0.0924301829652 
3.0 -0.418288933777 0.2 -0.0744699459455 
3.5 -0.385798974594 0.2 -0.0784027713432 
4.0 -0.314474001342 0.2 -0.0636842295112 
4.5 -0.134458872893 0.2 -0.0449981423821 
5.0 -0.0418973283585 0.2 -0.00883657349925 
5.5 0.0394102147493 0.2 0.0112053005967 
